4500097505,4500097505,0," 6,00,000.00 "," 6,30,000.00 "," 30,000.00 ",5.00%,#N/A,#N/A,BUSYBOTS PRIVATE LIMITED,TRUE,,,,,
4500089309,4500089309,0," 16,98,647.00 "," 17,83,582.00 "," 84,935.00 ",5.00%,#N/A,#N/A,Highsky IT Solutions Private Limited,TRUE,,,,,
4500093610,4500093610,0," 2,93,143.00 "," 3,07,800.00 "," 14,657.00 ",5.00%,#N/A,#N/A,Highsky IT Solutions Private Limited,TRUE,,,,,
4500096896,4500096896,0," 5,13,000.66 "," 5,38,650.00 "," 25,649.34 ",5.00%,#N/A,#N/A,Highsky IT Solutions Private Limited,TRUE,,,,,
4500090795,4500090795,0," 9,34,346.00 "," 9,81,063.00 "," 46,717.00 ",5.00%,#N/A,#N/A,Highsky IT Solutions Private Limited,TRUE,,,,,
4500096735-1,4500096735-1,0," 3,44,191.00 "," 3,55,082.00 "," 10,891.00 ",3.16%,#N/A,#N/A,Highsky IT Solutions Private Limited,TRUE,Highsky & Kaparthi Common PO,,,,
4500090771-1,4500090771-1,0," 6,62,015.00 "," 6,95,116.00 "," 33,101.00 ",5.00%,#N/A,#N/A,Highsky IT Solutions Private Limited,TRUE,Highsky & Kaparthi Common PO,,,,
4500093849,4500093849,0," 3,79,155.00 "," 3,98,112.00 "," 18,957.00 ",5.00%,#N/A,#N/A,Highsky IT Solutions Private Limited,TRUE,,,,,
4500094640-1,4500094640-1,0," 2,52,770.00 "," 3,94,861.00 "," 1,42,091.00 ",56.21%,#N/A,#N/A,Highsky IT Solutions Private Limited,TRUE,Highsky & Kaparthi Common PO,,,,"Margin High due to duplicate invoice received from vendor & the same has been billed to NTT, now Credit note will be received from vendor"
Duplicate Invoice for Oct'24 For Chandershekhar & Shriniwas,Duplicate Invoice for Oct'24 For Chandershekhar & Shriniwas,0, -   , -   , -   ,#DIV/0!,#N/A,#DIV/0!,Highsky IT Solutions Private Limited,TRUE,,,,,
4500088398,4500088398,0," 22,55,979.22 "," 29,86,179.21 "," 7,30,199.99 ",32.37%,#N/A,#N/A,KAPARTHI CONSULTANCY SERVICES,TRUE,,,,,
4500088323,4500088323,0," 18,63,387.00 "," 13,39,156.05 "," (5,24,230.95)",-28.13%,#N/A,#N/A,KAPARTHI CONSULTANCY SERVICES,TRUE,,,,,
4500089164,4500089164,0," 5,03,822.00 "," 5,29,014.00 "," 25,192.00 ",5.00%,#N/A,#N/A,KAPARTHI CONSULTANCY SERVICES,TRUE,,,,,
4500089649,4500089649,0," 11,45,000.00 "," 11,42,857.00 "," (2,143.00)",-0.19%,#N/A,#N/A,KAPARTHI CONSULTANCY SERVICES,TRUE,,,,,
4500088397,4500088397,0," 22,89,574.00 "," 29,07,803.00 "," 6,18,229.00 ",27.00%,#N/A,#N/A,KAPARTHI CONSULTANCY SERVICES,TRUE,,,,,
4500090699,4500090699,PO not raised, -   ," 57,143.00 "," 57,143.00 ",#DIV/0!,#N/A,#DIV/0!,#N/A,TRUE,,,,,
4500090771,4500090771,0," 3,41,129.00 "," 3,58,185.45 "," 17,056.45 ",5.00%,#N/A,#N/A,KAPARTHI CONSULTANCY SERVICES,TRUE,,,,,
4500094642,4500094642,0," 19,00,000.00 "," 13,65,767.00 "," (5,34,233.00)",-28.12%,#N/A,#N/A,KAPARTHI CONSULTANCY SERVICES,TRUE,,,,,
4500094602,4500094602,PO not raised, -   ," 4,15,950.00 "," 4,15,950.00 ",#DIV/0!,#N/A,#DIV/0!,#N/A,TRUE,,,,,
4500094640,4500094640,0," 10,30,000.00 "," 7,46,200.00 "," (2,83,800.00)",-27.55%,#N/A,#N/A,KAPARTHI CONSULTANCY SERVICES,TRUE,,,,,
